,Title,Rank,Type,Episodes,Aired,Score
11327,Koutetsu Jeeg,3785,TV,46,Oct 1975 - Aug 1976,7.05
11328,Dorami-chan: A Blue Straw Hat,9757,Movie,1,Mar 1994 - Mar 1994,5.79
11329,"Shin Kimagure Orange☆Road: Soshite, Ano Natsu no Hajimari",2234,Movie,1,Nov 1996 - Nov 1996,7.37
11330,Joint,12055,Movie,1,2009 - 2009,4.99
11331,Lingerie Senshi Papillon Rose,12493,OVA,1,Apr 2003 - Apr 2003,4.6
11332,Licca-chan to Yamaneko Hoshi no Tabi,9647,OVA,1,Sep 1997 - Sep 1997,5.82
11333,Jiandao Di Yi Xian,7580,ONA,20,Jun 2022 - Aug 2022,6.27
11334,Detective Conan Movie 19: The Hellfire Sunflowers,1101,Movie,1,Apr 2015 - Apr 2015,7.72
11335,Ya-Ne-Sen a Go Go,11630,Movie,1,Feb 2011 - Feb 2011,5.21
11336,Kyou kara Ore wa!!,528,OVA,10,Apr 1993 - Dec 1997,8.05
11337,Bulsajo Robot Phoenix King,12526,Movie,1,1984 - 1984,4.56
11338,Yowamushi Pedal: Special Ride,2315,OVA,1,Aug 2013 - Aug 2013,7.35
11339,Crayon Shin-chan Movie 14: Densetsu wo Yobu Odore! Amigo!,5224,Movie,1,Apr 2006 - Apr 2006,6.73
11340,Onegai☆Teacher,3519,TV,12,Jan 2002 - Mar 2002,7.11
11341,Alexandros no Ketsudan,10592,OVA,1,Jun 2003 - Jun 2003,5.57
11342,Megalo Box Specials,8073,Special,3,Jul 2018 - Nov 2018,6.17
11343,Nisekoi,1467,TV,20,Jan 2014 - May 2014,7.57
11344,World Fool News (TV),9564,TV,12,Apr 2014 - Jul 2014,5.84
11345,Magic-kyun! First Live: Hoshinomori Summer Festa 2017 Encore Animation,6891,Special,1,Sep 2017 - Sep 2017,6.4
11346,Tiger Mask Nisei,2471,TV,33,Apr 1981 - Jan 1982,7.31
11347,Osakana wa Ami no Naka,12226,OVA,1,Jul 1994 - Jul 1994,4.84
11348,"Omoi, Omoware, Furi, Furare",2687,Movie,1,Sep 2020 - Sep 2020,7.27
11349,Nokemono-tachi no Yoru,5952,TV,13,Jan 2023 - Apr 2023,6.58
11350,Sword Art Online II: Sword Art Offline II,5968,Special,9,Oct 2014 - Jun 2015,6.58
11351,Yoshida no Time Slip Fumai-kou,11934,ONA,3,Apr 2018 - Jun 2018,5.06
11352,Chou Denji Machine Voltes V,1898,TV,40,Jun 1977 - Mar 1978,7.45
11353,"Kamen no Maid Guy: Ano Natsu, Ichiban Yutaka na Chichi.",4947,OVA,1,Dec 2008 - Dec 2008,6.79
11354,Ars no Kyojuu,8402,TV,12,Jan 2023 - Mar 2023,6.1
11355,Drill,12371,Movie,1,1983 - 1983,4.72
11356,Wu Shan Wu Xing (2020),900,ONA,3,Jul 2020 - Aug 2020,7.81
11357,Ramen Chai-nyan,11058,OVA,1,Feb 2001 - Feb 2001,5.43
11358,Robocar Poli,11365,TV,26,Feb 2011 - Jul 2011,5.33
11359,Tenkuu Danzai Skelter+Heaven,12788,OVA,1,Dec 2004 - Dec 2004,1.85
11360,Abstract feat. Alkama,12125,Movie,1,Aug 2017 - Aug 2017,4.93
11361,Kindan Joshi,12191,TV,5,Dec 2020 - Jan 2021,4.87
11362,Inakappe Taishou,6707,TV,104,Oct 1970 - Sep 1972,6.44
11363,Shinya! Tensai Bakabon,9024,TV,12,Jul 2018 - Sep 2018,5.97
11364,Ginga Ojousama Densetsu Yuna: Shin'en no Fairy,7307,OVA,3,Dec 1996 - May 1997,6.32
11365,Mahoutsukai Reimeiki,7029,TV,12,Apr 2022 - Jul 2022,6.38
11366,1+2=Paradise,12334,OVA,2,Feb 1990 - Apr 1990,4.76
11367,White Fantasy,10744,Special,1,Dec 2014 - Dec 2014,5.53
11368,Isekai Quartet 2,2278,TV,12,Jan 2020 - Apr 2020,7.36
11369,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,2878,TV,12,Jul 2016 - Sep 2016,7.23
11370,Owari no Chronicle,11948,Special,1,Apr 2012 - Apr 2012,5.05
11371,Air Movie,2934,Movie,1,Feb 2005 - Feb 2005,7.22
11372,Gankutsuou,421,TV,24,Oct 2004 - Mar 2005,8.14
11373,Ultraviolet: Code 044,9845,TV,12,Jul 2008 - Sep 2008,5.77
11374,Girigiri Warukunai Watame,5376,ONA,?,Jan 2022 -,6.7
11375,Yi Nian Yong Heng,961,ONA,52,Aug 2020 - Jul 2021,7.78
11376,Tetsuwan Atom,3665,TV,193,Jan 1963 - Dec 1966,7.08
11377,Genius Party,3353,Movie,7,Jul 2007 - Jul 2007,7.14
11378,Ansatsu Kyoushitsu: Deai no Jikan,1964,Special,1,Nov 2014 - Nov 2014,7.43
11379,Hetalia Axis Powers,2723,ONA,52,Jan 2009 - Mar 2010,7.27
11380,Hanaukyou Maid-tai OVA,5614,OVA,3,Sep 2001 - Nov 2001,6.65
11381,Comic Party Revolution,6490,TV,13,Apr 2005 - Jun 2005,6.48
11382,Toaru Majutsu no Index-tan II,4505,Special,2,Jan 2011 - Jun 2011,6.88
11383,Enyogu,11752,Movie,1,2007 - 2007,5.15
11384,Lord of Vermilion IV,11355,ONA,16,Sep 2017 - Oct 2017,5.33
11385,Chirin no Suzu,3622,Movie,1,Mar 1978 - Mar 1978,7.09
11386,Dr. Slump: Arale-chan Specials,9875,Special,2,Oct 1981 - Oct 1981,5.76
11387,AIKa,9174,OVA,7,Apr 1997 - Apr 1999,5.93
11388,Kurumiwari Ningyou,8532,Movie,1,Mar 1979 - Mar 1979,6.07
11389,Yuru Yuri Nachuyachumi!+,993,Special,2,Aug 2015 - Sep 2015,7.77
11390,Gangsta.,2050,TV,12,Jul 2015 - Sep 2015,7.41
11391,Master of Torque: Epilogue,12158,ONA,1,Dec 2016 - Dec 2016,4.9
11392,C³: Rinkan Gakkou Confusion!,5304,Special,1,Apr 2012 - Apr 2012,6.71
11393,Charady no Joke na Mainichi,11733,TV,365,Apr 2009 - Mar 2010,5.16
11394,Little El Cid no Bouken,7916,TV,26,Feb 1984 - Mar 1984,6.2
11395,Virtua Fighter: Costomize Clip,9305,OVA,1,Feb 1997 - Feb 1997,5.9
11396,Koukou Butouden Crows,5045,OVA,2,Jan 1994 - Jun 1994,6.76
11397,Massugu ni Ikou.,7135,TV,4,Aug 2003 - Aug 2003,6.36
11398,Gokushufudou,2890,ONA,5,Apr 2021 - Apr 2021,7.23
11399,Okon Joururi,9016,Movie,1,1982 - 1982,5.97
11400,Kiitarou Shounen no Youkai Enikki,6712,TV,12,Oct 2016 - Dec 2016,6.44
11401,Giant Robo,9799,Special,1,Jul 2007 - Jul 2007,5.78
11402,"Onegai☆Teacher: Marie, Ai no Gekijou",5347,Special,1,Oct 2002 - Oct 2002,6.7
11403,Hello Kitty to Issho,9882,OVA,16,Feb 1994 - Oct 1998,5.76
11404,Bannou Bunka Neko-Musume Specials,7477,Special,2,Aug 1999 - Aug 1999,6.29
11405,Tokyo 7th Sisters: Bokura wa Aozora ni Naru,6984,Movie,1,Feb 2021 - Feb 2021,6.39
11406,Kero Kero Keroppi no Bouken: Pink no Kinoko,10423,OVA,1,Jun 1993 - Jun 1993,5.62
11407,"Yuusha, Yamemasu",3886,TV,12,Apr 2022 - Jun 2022,7.03
11408,GetBackers,1447,TV,49,Oct 2002 - Sep 2003,7.58
11409,Blood Lad: Wagahai wa Neko de wa Nai,3497,OVA,1,Dec 2013 - Dec 2013,7.11
11410,Fairy Tail OVA,1852,OVA,5,Apr 2011 - Jun 2013,7.46
11411,Ushi Atama,12567,Movie,1,1968 - 1968,4.48
11412,Aggressive Retsuko (ONA),1276,ONA,10,Apr 2018 - Apr 2018,7.64
11413,Gundress,11136,Movie,1,Mar 1999 - Mar 1999,5.4
11414,Kimi ni Maji Kyun!,5862,OVA,1,May 2016 - May 2016,6.6
11415,Yukiguni no Oujisama,11116,Movie,1,Dec 1985 - Dec 1985,5.41
11416,Gintama: Monster Strike-hen,1715,ONA,2,Aug 2019 - Sep 2019,7.5
11417,Shingeki! Kyojin Chuugakkou,3062,TV,12,Oct 2015 - Dec 2015,7.2
11418,Heroine Tarumono! Kiraware Heroine to Naisho no Oshigoto Mini Anime,10150,ONA,6,Mar 2022 - Mar 2022,5.69
11419,Jakusansei Million Arthur Specials,11176,Special,3,Jul 2016 - Aug 2016,5.39
11420,Charlotte,1030,TV,13,Jul 2015 - Sep 2015,7.75
11421,Sekirei: Pure Engagement Episode 0,3128,Special,1,Aug 2010 - Aug 2010,7.19
11422,Lunn wa Kaze no Naka,9414,OVA,1,Apr 1985 - Apr 1985,5.88
11423,InuYasha,799,TV,167,Oct 2000 - Sep 2004,7.86
11424,0-sen Hayato,9750,TV,38,Jan 1964 - Oct 1964,5.79
11425,Juubee Ninpuuchou: Ryuuhougyoku-hen,5530,TV,13,Apr 2003 - Jul 2003,6.67
11426,Aachi wa Ssipak,6123,Movie,1,Jun 2006 - Jun 2006,6.55
11427,Warau Arsnotoria Sun!,9671,TV,12,Jul 2022 - Sep 2022,5.81
11428,Portrait,12551,Movie,1,1983 - 1983,4.5
11429,Ore wo Suki nano wa Omae dake ka yo,2507,TV,12,Oct 2019 - Dec 2019,7.31
11430,Bocchi the Rock!,29,TV,12,Oct 2022 - Dec 2022,8.84
11431,Atomic World,9982,Movie,1,2009 - 2009,5.73
11432,Fukashigi no Kazoekata,11871,ONA,1,Sep 2012 - Sep 2012,5.09
11433,Berserk: Ougon Jidai-hen I - Haou no Tamago,1141,Movie,1,Feb 2012 - Feb 2012,7.7
11434,Hello World,1717,Movie,1,Sep 2019 - Sep 2019,7.5
11435,Taiyou no Ouji: Horus no Daibouken,6533,Movie,1,Jul 1968 - Jul 1968,6.47
11436,RDG: Red Data Girl,6081,TV,12,Apr 2013 - Jun 2013,6.56
11437,Totsuzen! Neko no Kuni Banipal Witt,5134,Movie,1,May 1998 - May 1998,6.74
11438,Houkago no Ouji-sama,4744,Special,5,Oct 2014 - Jun 2015,6.83
11439,Koi wa 1-nichi ni Shite Narazu,11616,ONA,1,Feb 2021 - Feb 2021,5.22
11440,Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,1871,OVA,1,May 2018 - May 2018,7.46
11441,Tora-chan no Kankan Mushi,11931,Movie,1,1950 - 1950,5.06
11442,Fate/kaleid liner Prisma☆Illya Movie: Licht - Namae no Nai Shoujo Mini Anime,11909,ONA,3,Aug 2021 - Aug 2021,5.08
11443,Kenran Butou Sai: The Mars Daybreak,3361,TV,26,Apr 2004 - Sep 2004,7.14
11444,Beyond Creation,7570,ONA,1,Feb 2019 - Feb 2019,6.27
11445,Pygmalio,3380,TV,39,Nov 1990 - Sep 1991,7.14
11446,Genji Monogatari,7113,Movie,1,Dec 1987 - Dec 1987,6.36
11447,Kinnikuman,2586,TV,137,Apr 1983 - Oct 1986,7.29
11448,Hikaru no Go: Memories,7757,OVA,1,Jun 2004 - Jun 2004,6.23
11449,Jewelpet,4828,TV,52,Apr 2009 - Mar 2010,6.81
11450,Android Ana Maico 2010,6210,TV,24,Apr 1998 - Sep 1998,6.53
11451,Wonder Beat Scramble,6206,TV,26,Apr 1986 - Nov 1986,6.53
11452,Hoozuki no Reitetsu OVA,826,OVA,4,Feb 2015 - Mar 2017,7.85
11453,Ginga Tetsudou 999 (ONA),8992,ONA,6,Sep 2002 - Jul 2004,5.97
11454,Acchi wa Kocchi,5086,Movie,1,1961 - 1961,6.75
11455,Kidou Senshi Gundam: Dai 08 MS Shoutai - Sanjigen to no Tatakai,3585,Special,1,Feb 2013 - Feb 2013,7.09
11456,Shironeko Project: Zero Chronicle,11239,TV,12,Apr 2020 - Jun 2020,5.37
11457,Fw:Hamatora,4166,Movie,1,Nov 2015 - Nov 2015,6.96
11458,Katsugeki/Touken Ranbu,5187,TV,13,Jul 2017 - Sep 2017,6.73
11459,Hen,11951,OVA,2,Mar 1997 - May 1997,5.05
11460,Technoroid: Overmind,6464,TV,12,Jan 2023 - Mar 2023,6.49
11461,Senran Kagura Specials,6880,Special,6,Mar 2013 - Aug 2013,6.41
11462,Legend of Basara,2680,TV,13,Apr 1998 - Jun 1998,7.27
11463,Jiaoao de Jiangjun,11325,Movie,1,1956 - 1956,5.34
11464,Hello Kitty no Yume no Oshiro no Ouji-sama,9881,OVA,1,Feb 1994 - Feb 1994,5.76
11465,Youjo Shenki Episode 0,8764,ONA,1,Jan 2017 - Jan 2017,6.02
11466,Koutetsujou no Kabaneri Movie 2: Moeru Inochi,1512,Movie,1,Jan 2017 - Jan 2017,7.56
11467,Indie Anibox: Selma Danbaekjil Coffee,9324,Movie,1,Jun 2008 - Jun 2008,5.9
11468,Soukyuu no Fafner: Dead Aggressor - The Beyond,2820,Movie,3,May 2019 - May 2019,7.25
11469,Porong Porong Pororo 3,10677,TV,52,May 2009 - Oct 2009,5.55
11470,Toaru Majutsu no Index-tan Movie: Endymion no Kiseki - Ga Attari Nakattari,3733,Special,1,Aug 2013 - Aug 2013,7.06
11471,Tanpen Unico: Kuroi Kumo to Shiroi Hane,7959,OVA,1,Apr 1979 - Apr 1979,6.19
11472,Machikado Mazoku,1264,TV,12,Jul 2019 - Sep 2019,7.65
11473,Gakuen Utopia Manabi Straight!,2491,TV,12,Jan 2007 - Mar 2007,7.31
11474,Growlanser IV: Wayfarer of the Time,11264,OVA,1,Mar 2005 - Mar 2005,5.36
11475,Houkago no Pleiades: Manner Movie,11504,Movie,1,Jun 2011 - Jun 2011,5.27
11476,Seihou Bukyou Outlaw Star,839,TV,24,Jan 1998 - Jun 1998,7.84
11477,Makai Ouji: Devils and Realist,3983,TV,12,Jul 2013 - Sep 2013,7.01
11478,Pankis! 2-jigen,10718,TV,24,Jan 2015 - Jun 2015,5.54
11479,Ranma ½,1011,TV,161,Apr 1989 - Sep 1992,7.76
11480,Gegege no Kitarou: Youkai Daisensou,9252,Movie,1,Mar 1986 - Mar 1986,5.92
11481,Yogen-sha Ikusei Gakuen: Fortune Tellers Academy,11246,ONA,1,Apr 2017 - Apr 2017,5.37
11482,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,3769,Movie,1,Jul 1991 - Jul 1991,7.05
11483,Heroes,10229,ONA,5,Apr 2021 - Apr 2021,5.67
11484,Nara Shika Monogatari,11716,ONA,1,2004 - 2004,5.17
11485,Yatogame-chan Kansatsu Nikki Nisatsume,7148,TV,12,Jan 2020 - Mar 2020,6.36
11486,Nine,8792,Special,1,May 1983 - May 1983,6.02
11487,Ohayou! Spank (Movie),9280,Movie,1,Mar 1982 - Mar 1982,5.91
11488,Buggy Map,12622,Special,2,Dec 2014 - Apr 2015,4.36
11489,Dengeki Bunko 2007 Movie Festival Special,8188,Special,1,Apr 2007 - Apr 2007,6.14
11490,Kowarekake no Orgel,2500,OVA,1,Dec 2009 - Dec 2009,7.31
11491,Kurogane no Linebarrels Picture Drama,9005,Special,9,Dec 2009 - Aug 2009,5.97
11492,Ba Ma Laizi Er Ciyuan,8185,ONA,24,Oct 2021 - Dec 2021,6.14
11493,Bakuman.,362,TV,25,Oct 2010 - Apr 2011,8.19
11494,Kuma Miko Specials,6253,Special,2,Jun 2016 - Aug 2016,6.52
11495,Marie & Gali,7351,TV,40,Mar 2009 - Mar 2010,6.31
11496,Switch,4579,OVA,2,Oct 2008 - Feb 2009,6.86
11497,Nintama Rantarou,3653,TV,?,Apr 1993 -,7.08
11498,Kuro ga Ita Natsu,7632,Movie,1,Jun 1990 - Jun 1990,6.26
11499,Genocyber,9798,OVA,5,May 1994 - Jul 1994,5.78
11500,Tight-rope,4083,OVA,2,May 2012 - Jun 2012,6.99
11501,Chiruran: Nibun no Ichi,10461,TV,12,Jan 2017 - Mar 2017,5.61
11502,Nana Maru San Batsu,5494,TV,12,Jul 2017 - Sep 2017,6.67
11503,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV Episode 0,5541,Special,1,Jul 2022 - Jul 2022,6.66
11504,Ansatsu Kyoushitsu: Kagaijugyou-hen,1242,ONA,8,Mar 2016 - May 2016,7.66
11505,Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,143,Movie,1,Aug 2019 - Aug 2019,8.45
11506,Kemono no Souja Erin Recaps,5024,TV,10,Jan 2010 - Mar 2010,6.77
11507,Tenbatsu Angel Rabbie☆,11995,OVA,1,Jan 2004 - Jan 2004,5.02
11508,Amnesia,8907,TV,12,Jan 2013 - Mar 2013,5.99
11509,Kingdom 4th Season,42,TV,26,Apr 2022 - Oct 2022,8.74
11510,Hidamari Sketch x 365 Specials,1105,Special,3,Mar 2009 - Oct 2009,7.72
11511,Sol Bianca: Taiyou no Fune,7269,OVA,6,Sep 1999 - Oct 2000,6.33
11512,Ningyo no Mori,5331,OVA,1,Aug 1991 - Aug 1991,6.71
11513,Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai,3603,TV,9,Jan 2009 - Mar 2009,7.09
11514,Robot Girls Z Specials,7526,Special,3,Jun 2014 - Aug 2014,6.28
11515,Paul no Miracle Daisakusen,7140,TV,50,Oct 1976 - Sep 1977,6.36
11516,Nisekoi: OVA,3791,OVA,2,Jan 2016 - Jan 2016,7.05
11517,Pokemon: Pikachu to Pokemon Ongakutai,8016,Movie,1,Jul 2015 - Jul 2015,6.18
11518,Mars Red,5920,TV,13,Apr 2021 - Jun 2021,6.59
11519,Sin: Nanatsu no Taizai Zange-roku Specials,9094,Special,7,Jun 2017 - Dec 2017,5.95
11520,Shin Saru Kani Gassen,12083,Movie,1,1939 - 1939,4.97
11521,Isekai Meikyuu de Harem wo,6069,TV,12,Jul 2022 - Sep 2022,6.56
11522,Souiu Megane,12500,Movie,1,2007 - 2007,4.59
11523,Tokyo Art Month,12031,ONA,1,Oct 2011 - Oct 2011,5.01
11524,Koisuru Tenshi Angelique: Kokoro no Mezameru Toki,4760,TV,13,Jul 2006 - Sep 2006,6.82
11525,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season,494,TV,10,Apr 2022 - Jun 2022,8.08
11526,Tokyo Marble Chocolate,3325,OVA,2,Dec 2007 - Dec 2007,7.15
11527,Chuumon no Ooi Ryouriten,11121,Movie,1,Nov 1958 - Nov 1958,5.41
11528,Kusatta Kyoushi no Houteishiki,9006,OVA,2,Nov 1994 - Nov 1995,5.97
11529,Tiger & Bunny Movie 2: The Rising,1134,Movie,1,Feb 2014 - Feb 2014,7.71
11530,Fight Ippatsu! Juuden-chan!! Specials,6296,Special,6,Dec 2009 - May 2010,6.52
11531,Fujoshi no Hinkaku,8920,OVA,1,Feb 2010 - Feb 2010,5.99
11532,Elysium,11670,Movie,1,Aug 2003 - Aug 2003,5.19
11533,Tottoko Hamtarou OVA 4: Hamuchanzu no Mezase! Hamuhamu Kin Medal - Hashire! Hashire! Daisakusen,7884,OVA,1,Dec 2004 - Dec 2004,6.2
11534,Manga de Wakaru! Fate/Grand Order,1299,Special,1,Dec 2018 - Dec 2018,7.63
11535,Nishitetsu CMs,11644,Special,3,Jul 2016 - May 2020,5.21
11536,Captain Tsubasa: Ayaushi! Zen Nihon Jr.,5147,Movie,1,Dec 1985 - Dec 1985,6.74
11537,Renai Boukun,5789,TV,12,Apr 2017 - Jun 2017,6.62
11538,Gyokou no Nikuko-chan,3190,Movie,1,Jun 2021 - Jun 2021,7.18
11539,Barbapapa,7804,TV,45,Oct 1974 - Sep 1975,6.22
11540,Souten no Ken: Regenesis 2nd Season,8815,TV,12,Oct 2018 - Dec 2018,6.01
11541,Hua Jianghu: Huan Shi Men Sheng,7490,ONA,20,Sep 2017 - Jan 2018,6.29
11542,Bakabon Osomatsu no Karee wo Tazunete Sansenri,8982,Special,1,Oct 1991 - Oct 1991,5.97
11543,Isekai Nonbiri Nouka,1450,TV,12,Jan 2023 - Mar 2023,7.58
11544,Cyborg 009 VS Devilman,7571,OVA,3,Nov 2015 - Nov 2015,6.27
11545,Dallos,9050,OVA,4,Dec 1983 - Jul 1984,5.96
11546,Soukihei MD Geist,11380,OVA,1,May 1986 - May 1986,5.32
11547,High School DxD BorN,2034,TV,12,Apr 2015 - Jun 2015,7.42
11548,Mirai Robo Daltanias,4834,TV,47,Mar 1979 - Mar 1980,6.81
11549,Sakura Taisen: Gouka Kenran,4185,OVA,6,Dec 1999 - Dec 2000,6.96
11550,"Yuru Yuri,",1198,OVA,1,Sep 2019 - Sep 2019,7.68
11551,Kimi no Suizou wo Tabetai,97,Movie,1,Sep 2018 - Sep 2018,8.56
11552,Uchuu Kaizoku Captain Herlock,1170,TV,42,Mar 1978 - Feb 1979,7.69
11553,Ginga Kikoutai Majestic Prince,2415,TV,24,Apr 2013 - Sep 2013,7.33
11554,Imagination of Marathon Runners,12138,Movie,1,1984 - 1984,4.92
11555,K-On!: Live House!,857,Special,1,Jan 2010 - Jan 2010,7.84
11556,Comic Party,5981,TV,13,Apr 2001 - Jun 2001,6.58
11557,Buttobi!! CPU,7703,OVA,3,Apr 1997 - Sep 1997,6.24
11558,BanG Dream! 5th Anniversary Animation: CiRCLE Thanks Party!,1184,ONA,2,Mar 2022 - Mar 2022,7.68
11559,Marie & Gali ver. 2.0,9066,TV,30,Mar 2010 - Mar 2011,5.96
11560,Perman: Birdman ga Yatte Kita!!,9779,Movie,1,Mar 1983 - Mar 1983,5.79
11561,Basquash!,3004,TV,26,Apr 2009 - Oct 2009,7.21
11562,Rifle Is Beautiful: Zengoku Daikai Is Mokuzen,10415,Special,1,Dec 2019 - Dec 2019,5.63
11563,Blue Archive: Beautiful Day Dreamer,4950,ONA,1,Nov 2022 - Nov 2022,6.78
11564,Wangan Midnight,1834,TV,26,Jun 2007 - Sep 2008,7.47
11565,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,3005,Special,4,Dec 2003 - Oct 2004,7.21
11566,Nijiiro Days: Houkago Special,5412,Special,1,Apr 2016 - Apr 2016,6.69
11567,Baku Tech! Bakugan Gachi,9754,TV,39,Apr 2013 - Dec 2013,5.79
11568,Ice Movie,11324,Movie,1,Nov 2008 - Nov 2008,5.34
11569,Mushishi: Hihamukage,110,Special,1,Jan 2014 - Jan 2014,8.53
11570,Full Metal Panic! Movie 3: Into the Blue,4148,Movie,1,Jan 2018 - Jan 2018,6.97
11571,Tachibanakan Triangle,10480,TV,12,Apr 2018 - Jun 2018,5.61
11572,Sasami-san@Ganbaranai,5571,TV,12,Jan 2013 - Mar 2013,6.66
11573,Hello Kitty no Yuubinya-san Arigatou,10272,OVA,1,Feb 1993 - Feb 1993,5.66
11574,Commercial War,12488,Movie,1,1971 - 1971,4.6
11575,Dirty Pair Flash 2,6128,OVA,5,Jun 1995 - Oct 1995,6.55
11576,Super Seisyun Brothers,5286,TV,14,Sep 2013 - Dec 2013,6.71
11577,Sarusuberi: Miss Hokusai,3233,Movie,1,May 2015 - May 2015,7.17
11578,Nanako Kaitai Shinsho,10871,OVA,6,Jul 1999 - Mar 2000,5.49
11579,Lan Mao,9344,TV,3057,Oct 1999 - Aug 2001,5.89
11580,Tiger & Bunny,815,TV,25,Apr 2011 - Sep 2011,7.85
11581,Shounen Sarutobi Sasuke,9425,Movie,1,Dec 1959 - Dec 1959,5.88
11582,Yamato Takeru: After War,8163,OVA,2,Nov 1995 - Nov 1995,6.15
11583,Video Girl Ai,3069,OVA,6,Mar 1992 - Aug 1992,7.2
11584,ChäoS;Child Episode 0,7806,Special,1,Jan 2017 - Jan 2017,6.22
11585,Inazuma Eleven Go vs. Danball Senki W Movie,4263,Movie,1,Dec 2012 - Dec 2012,6.94
11586,Hibike! Euphonium Movie 3: Chikai no Finale,1036,Movie,1,Apr 2019 - Apr 2019,7.75
11587,Shake-chan,9230,ONA,1,Mar 2012 - Mar 2012,5.92
11588,Yuu☆Yuu☆Hakusho: Eizou Hakusho - Opening Ending Encyclopedia,5003,Special,1,Oct 1995 - Oct 1995,6.77
11589,Kara no Kyoukai Movie 2: Satsujin Kousatsu (Zen),949,Movie,1,Dec 2007 - Dec 2007,7.78
11590,Jungle wa Itsumo Hare nochi Guu,912,TV,26,Apr 2001 - Sep 2001,7.81
11591,Hitsugi no Chaika: Nerawareta Hitsugi/Yomigaeru Iseki,4069,OVA,1,Mar 2015 - Mar 2015,6.99
11592,Xue Ying Ling Zhu Zhi Qi Yu Pian,3609,ONA,4,Jan 2020 - Jan 2020,7.09
11593,Monster Musume no Iru Nichijou: Hobo Mainichi ◯◯! Namappoi Douga,6259,ONA,60,Jul 2015 - Sep 2015,6.52
11594,Toki wa Meguru: Tokyo Station,6274,ONA,1,Jun 2014 - Jun 2014,6.52
11595,Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu Picture Drama,3678,Special,1,Dec 2013 - Dec 2013,7.07
11596,Kaguya-sama wa Kokurasetai: Ultra Romantic Teaser PV - Ishigami Yuu wa Kataritai,406,ONA,1,Oct 2021 - Oct 2021,8.15
11597,Yasashii Lion,11162,Movie,1,Mar 1970 - Mar 1970,5.39
11598,Jungle Taitei (1989),4876,TV,52,Oct 1989 - Oct 1990,6.8
11599,Kagaku Bouken-tai Tansar 5,8355,TV,34,Jul 1979 - Mar 1980,6.11
11600,Kaijin Kaihatsu-bu no Kuroitsu-san,5239,TV,12,Jan 2022 - Apr 2022,6.73
11601,Byulbyul Iyagi,10951,Movie,6,Sep 2005 - Sep 2005,5.46
11602,Boku no Kanojo ga Majimesugiru Sho-bitch na Ken OVA,7160,OVA,1,Mar 2018 - Mar 2018,6.35
11603,Sora no Method,5041,TV,13,Oct 2014 - Dec 2014,6.77
11604,Yokohama Meibutsu: Otoko Katayama-gumi!,10482,OVA,2,Aug 1991 - Mar 1992,5.61
11605,Shin Shirayuki-hime Densetsu Prétear,3296,TV,13,Apr 2001 - Jun 2001,7.16
11606,Zonmi-chan: Halloween☆Special Movie!,12596,ONA,1,Oct 2015 - Oct 2015,4.42
11607,Happiness Charge Precure! Movie: Ningyou no Kuni no Ballerina,3760,Movie,1,Oct 2014 - Oct 2014,7.06
11608,Pretty Rhythm: Rainbow Live,1573,TV,51,Apr 2013 - Mar 2014,7.55
11609,Enkinhou no Hako: Hakase no Sagashimono,11916,Movie,1,1990 - 1990,5.07
11610,Tama & Friends: Uchi no Tama Shirimasen ka?,9096,TV,104,Oct 2016 - Sep 2018,5.95
11611,Hanhua Riji 3rd Season,2800,ONA,12,Jul 2022 - Oct 2022,7.25
11612,Brothers Conflict: Setsubou,6611,Special,1,Feb 2014 - Feb 2014,6.46
11613,Kidou Senshi Z Gundam I: Hoshi wo Tsugu Mono,3646,Movie,1,May 2005 - May 2005,7.08
11614,KO Seiki Beast Sanjuushi,6168,OVA,7,May 1992 - Nov 1993,6.54
11615,Mahou no LumiTear,10306,ONA,10,Mar 2019 - Mar 2019,5.65
11616,Chironup no Kitsune,7478,Movie,1,Aug 1987 - Aug 1987,6.29
11617,Ballroom e Youkoso,366,TV,24,Jul 2017 - Dec 2017,8.18
11618,Osu!! Karate-bu,5783,OVA,4,Oct 1990 - Jul 1992,6.62
11619,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,627,OVA,6,Mar 1989 - Aug 1989,7.97
11620,"""Kiss Dekiru Gyoza"" x Mameshiba Movie",12460,Special,2,Apr 2018 - Apr 2018,4.63
11621,Origami Warriors,7726,TV,52,2004 - 2004,6.24
11622,Shingeki no Kyojin: Lost Girls,896,OVA,3,Dec 2017 - Aug 2018,7.81
11623,Fune wo Amu Yokoku,11124,ONA,10,Oct 2016 - Dec 2016,5.41
11624,Canvas: Sepia-iro no Motif,10265,OVA,2,Dec 2001 - Mar 2002,5.66
11625,Experiment,12260,Movie,1,1997 - 1997,4.82
